,Count
s,306878
movie,237958
nt,196072
film,181697
good,79108
story,66237
did,49519
time,35810
horror,29149
bad,25375
people,21502
characters,21328
watch,18940
great,18673
character,17466
action,15623
movies,15290
acting,14039
make,13116
way,12788
life,11912
comedy,11197
family,11052
funny,10615
think,9736
plot,8691
love,8391
fun,8375
end,8099
made,8043
two,7851
kids,6437
scenes,6282
scene,6097
films,5573
original,5521
m,5038
going,4963
house,4835
better,4827
ending,4786
know,4746
real,4624
old,4467
cast,4395
man,4364
re,4349
black,4247
things,4235
mother,4186
slow,4136
world,3977
interesting,3812
new,3799
actors,3755
school,3751
women,3595
lot,3593
ve,3522
back,3454
music,3396
book,3320
girl,3267
michael,3227
cage,2957
men,2930
dark,2919
daughter,2846
woman,2761
halloween,2638
kevin,2609
watching,2564
war,2559
director,2551
son,2540
space,2522
john,2500
art,2495
mary,2416
sci,2409
say,2390
jesus,2304
pretty,2294
thriller,2283
script,2245
fi,2241
girls,2240
father,2176
king,2143
charlie,2118
disney,2105
zombie,2102
documentary,2094
young,2091
bit,2080
animation,2034
night,2030
years,2010
killer,2008
overuse,2000
show,1976
scares,1975
wife,1956
dead,1927
series,1921
home,1903
netflix,1899
couple,1876
jokes,1872
park,1869
relationship,1869
minutes,1851
anna,1838
rock,1814
white,1812
children,1808
work,1774
drew,1770
boring,1749
ca,1746
boy,1723
neeson,1689
smith,1684
david,1654
jackie,1645
fbi,1620
grace,1613
twist,1612
mccarthy,1610
stewart,1605
point,1583
franchise,1569
high,1564
drug,1543
big,1542
ben,1526
liam,1519
guy,1517
james,1511
game,1503
hart,1501
feel,1489
child,1479
drama,1464
american,1463
chris,1459
wilson,1451
adam,1445
melissa,1437
zombies,1426
lizzie,1401
baby,1392
lucy,1391
sequel,1371
argento,1368
puppets,1360
alice,1349
vampire,1346
evil,1341
sandler,1339
parents,1325
moments,1301
peter,1285
jim,1275
true,1260
purge,1255
tom,1255
manson,1252
sarah,1251
lee,1242
musical,1229
husband,1228
actually,1217
x,1216
portman,1209
robert,1206
puppet,1205
amy,1191
best,1182
dog,1172
diana,1166
agent,1156
kristen,1149
kate,1149
performance,1149
stories,1142
three,1139
sherlock,1137
henry,1137
die,1132
seberg,1126
eastwood,1124
church,1122
celeste,1121
kid,1116
santa,1115
christmas,1101
candyman,1092
joe,1091
long,1090
morgan,1084
half,1078
earth,1064
murders,1060
fight,1060
borden,1054
friends,1048
message,1047
jump,1043
cult,1040
remake,1034
natalie,1031
fan,1030
devil,1027
blood,1018
gnomes,1013
hall,1008
steve,1003
playmobil,1000
slasher,1000
tyler,997
sam,995
pete,992
animated,991
jack,987
group,986
pasolini,980
johnson,979
conjuring,977
play,977
mel,976
chan,971
capone,969
creature,966
ted,960
annie,956
holmes,955
irish,953
phil,951
french,951
four,950
jay,948
voice,946
spencer,942
spongebob,938
city,936
laura,934
crime,931
clint,927
mark,922
travolta,918
budget,914
juliet,911
heist,909
games,906
uncle,904
moose,900
dialogue,899
nun,897
johnny,897
camp,895
matrix,894
clara,894
main,884
miles,883
wedding,881
sex,879
sophie,877
lead,873
found,872
brother,864
nutcracker,862
grass,860
party,856
elizabeth,852
watts,848
julia,840
read,838
jason,837
jones,832
scary,830
annabelle,827
pop,822
train,820
witch,818
version,817
anthony,817
bill,816
elle,816
anne,814
venom,814
island,812
take,811
ghost,809
played,809
christian,808
thought,806
felt,805
paranormal,805
victor,804
footage,800
gets,800
stand,797
dance,797
de,796
pandemic,790
gretel,790
hard,783
curtis,781
freeman,778
gloria,772
nicolas,771
jean,770
job,769
future,769
happytime,768
caine,766
town,766
alien,766
room,765
come,761
ballet,760
revenge,759
cgi,752
hair,752
novel,751
culture,751
part,749
sister,748
watson,746
car,746
franco,744
makes,742
amanda,741
snake,740
phoenix,740
political,739
creepy,739
nick,737
megan,737
morris,736
sandra,732
resident,730
rebel,729
gibson,729
sadie,729
guys,725
flatley,720
underwater,718
hell,718
berlin,716
eddie,716
faith,716
naomi,716
bruce,710
vincent,707
frank,705
police,704
lego,700
body,698
find,697
star,697
gnomeo,695
ana,693
st,692
fox,690
indian,690
