,Count
s,602622
film,375693
movie,363705
nt,299255
story,154022
good,115505
did,69532
time,56920
life,53193
great,44705
people,43016
characters,36818
character,35388
love,29727
watch,26552
way,24180
family,23001
action,22670
horror,21251
two,18423
documentary,18414
comedy,17515
man,14894
fun,14850
funny,14068
movies,13478
make,13079
war,12296
real,11787
world,11745
music,11698
father,11152
think,11086
mother,11080
films,10948
plot,10813
black,10790
show,10767
bad,10180
acting,9882
women,9688
new,9481
scenes,8938
end,8462
animation,8329
young,8203
know,7845
made,7711
true,7701
scene,7473
work,7436
son,7412
feel,7290
director,6999
original,6882
kids,6771
daughter,6584
gay,6428
woman,6181
old,6021
cast,5875
lot,5544
series,5277
things,5202
performance,5170
christmas,5105
mary,5078
songs,4989
book,4936
better,4875
ben,4839
john,4823
art,4793
town,4738
thriller,4706
years,4650
best,4605
house,4586
disney,4585
peter,4521
long,4510
back,4508
white,4427
michael,4346
ending,4197
m,4092
girl,4081
david,4034
beautiful,3968
history,3921
children,3808
slow,3604
men,3538
interesting,3471
cage,3462
police,3435
killer,3430
ve,3376
marvel,3350
human,3307
stories,3306
musical,3272
game,3271
sam,3264
french,3239
school,3228
chinese,3205
jack,3197
re,3169
boy,3168
couple,3164
actors,3117
smith,3094
three,3084
dark,3079
tom,3073
dog,3017
drug,2978
sex,2946
bit,2932
say,2898
wife,2890
james,2849
paul,2841
going,2831
death,2825
joe,2823
animated,2805
drama,2782
political,2766
night,2761
british,2751
jennifer,2744
felt,2726
sequel,2726
part,2714
parents,2709
emma,2707
hart,2673
emily,2672
jim,2647
based,2638
spy,2620
home,2616
2,2580
japanese,2575
robert,2569
star,2538
friends,2528
social,2501
grace,2495
daniel,2463
king,2454
adam,2434
russian,2424
german,2422
mark,2403
main,2392
ted,2360
liam,2339
watching,2330
charlie,2322
lucy,2291
sonic,2289
helen,2288
aretha,2261
girls,2258
judy,2255
anna,2249
rose,2236
episode,2229
heist,2229
song,2206
mystery,2186
serial,2167
season,2157
elizabeth,2145
harry,2118
richard,2086
metal,2078
brothers,2074
bundy,2059
minutes,2058
netflix,2054
kevin,2027
