,Count
s,198315
movie,150642
nt,115464
film,113037
good,52500
story,42296
action,39358
did,25836
time,23928
great,18847
characters,17180
character,16446
movies,12936
bad,12775
watch,10148
fun,9479
scenes,8914
man,7998
plot,7247
people,7197
way,6516
films,5743
make,5608
marvel,5301
war,5118
two,5099
funny,4825
new,4721
comedy,4647
world,4358
show,4276
cage,4228
better,3974
best,3693
black,3533
scene,3486
acting,3327
animation,3272
series,3263
kids,3216
family,3179
spider,3156
neeson,3129
love,3060
fight,2982
think,2926
game,2897
original,2858
sequel,2843
made,2716
liam,2550
cast,2499
tom,2471
franchise,2299
sonic,2289
bond,2252
king,2237
know,2159
john,2118
2,2111
season,2066
true,2062
lot,2050
back,1994
horror,1983
mcu,1958
guy,1954
old,1947
michael,1946
home,1938
train,1935
things,1877
ip,1870
dragon,1861
venom,1813
m,1759
james,1733
netflix,1684
revenge,1633
disney,1627
star,1607
evil,1600
peter,1591
x,1580
ryan,1575
art,1566
games,1553
men,1551
reynolds,1548
heist,1544
episode,1534
chinese,1514
deadpool,1512
life,1501
wars,1497
battle,1453
chris,1444
bruce,1433
irish,1416
maleficent,1387
dark,1369
pretty,1347
robert,1329
cgi,1327
history,1324
part,1323
dog,1318
nicolas,1308
night,1299
actors,1292
end,1280
hemsworth,1279
re,1279
daughter,1271
predator,1241
thriller,1238
jim,1235
johnson,1235
martial,1213
batman,1195
enola,1184
city,1182
jackie,1176
violence,1171
solo,1166
music,1165
ve,1147
holland,1146
rock,1136
monsters,1133
super,1132
ben,1123
soldiers,1121
town,1112
mccarthy,1112
purge,1105
park,1105
dwayne,1102
tarantino,1089
jason,1083
foster,1080
watching,1073
han,1065
godzilla,1060
cop,1059
wick,1054
book,1043
hard,1041
holmes,1030
wahlberg,1028
animated,1027
crime,1023
smith,1017
korean,1016
spy,1015
army,1015
anime,1007
santa,999
water,998
statham,993
wish,986
role,986
girl,980
birds,975
chan,971
young,971
melissa,966
adventure,964
fbi,963
jurassic,956
ritchie,956
zombie,954
drug,944
