,Count
s,123669
film,62138
documentary,58090
nt,56825
people,28011
life,23524
movie,23202
story,18780
time,16623
did,15656
music,12297
good,8561
watch,7400
great,7024
love,7016
world,6894
man,6501
years,5916
show,5555
family,5323
footage,5283
know,5143
way,4717
band,4197
work,4071
made,3721
make,3639
women,3318
trump,3022
new,2979
films,2952
director,2798
father,2761
real,2676
cohen,2626
social,2492
think,2476
two,2457
characters,2421
black,2394
sound,2358
history,2319
series,2292
media,2284
woman,2276
political,2209
back,2123
leonard,2069
ve,2017
downey,1977
francis,1941
festival,1930
robert,1924
children,1903
robin,1886
interesting,1868
art,1858
interviews,1850
war,1845
songs,1826
american,1780
dogs,1756
death,1745
young,1738
china,1738
williams,1734
pope,1725
herzog,1720
rock,1705
career,1676
white,1675
welles,1670
fan,1662
m,1661
brothers,1659
beautiful,1650
whitney,1635
chinese,1634
best,1632
song,1631
rogers,1595
guy,1590
david,1576
sparks,1566
feel,1559
dylan,1496
kubrick,1495
lives,1485
human,1482
hollywood,1441
men,1395
old,1374
re,1351
marianne,1347
cohn,1343
food,1333
police,1323
gorbachev,1320
animals,1314
state,1313
mother,1312
bee,1309
fans,1296
kids,1268
vitali,1249
alex,1247
money,1232
voice,1232
son,1229
bourdain,1200
nature,1189
things,1174
john,1150
bob,1150
industry,1143
bannon,1140
boys,1134
jr,1128
doc,1125
gees,1122
gay,1121
company,1112
long,1100
town,1091
judge,1084
tv,1076
child,1074
funny,1066
fashion,1065
pete,1056
movies,1046
amazing,1024
bruce,1021
animation,1015
ruth,993
duvall,993
woodstock,992
cinema,990
penguins,987
crosby,984
halston,978
bowie,971
stories,966
politics,962
rescue,951
scenes,950
maradona,948
elephants,941
scotty,937
liam,931
farm,924
oasis,920
watching,912
suzi,903
grace,900
data,900
morris,900
album,898
concert,890
free,890
lucy,882
ron,882
solo,882
jones,880
event,878
sharks,872
government,870
court,856
dog,847
climbing,838
season,825
litter,820
president,815
pavarotti,808
shows,798
billie,792
boeing,785
showgirls,780
thing,776
parents,774
chicken,768
relationship,767
alice,766
country,758
making,757
truth,753
sr,753
comedy,751
times,746
happened,745
sellers,740
peep,740
person,739
springsteen,738
tony,737
skateboarding,737
hank,718
news,715
minutes,714
leon,708
scene,705
madagascar,702
dr,700
cave,699
subject,696
taylor,696
orson,689
boy,686
ai,685
desi,684
couple,682
horror,681
moby,680
valerie,680
pandemic,680
ross,677
chaplin,677
space,674
four,673
houston,670
character,663
musical,660
rita,658
climb,658
moreno,656
peter,656
hard,650
wife,648
look,647
health,647
bad,646
disco,645
mcenroe,643
bullock,642
whale,640
leclerc,640
spurlock,636
book,636
selena,635
delorean,632
fungi,632
business,630
russian,630
ginsburg,630
russia,629
neumann,629
broadway,627
mission,624
say,623
cardin,620
hallelujah,620
opera,615
cows,613
alien,612
experience,612
store,608
television,606
