,Count
s,747258
film,489240
movie,434603
nt,369330
story,206625
good,126729
did,84970
time,73166
life,71892
people,56158
great,51641
characters,42717
character,41484
love,39312
way,32027
family,31564
watch,30331
two,28392
show,20614
horror,20112
war,19181
acting,18163
action,17632
make,16810
real,16755
man,16545
think,14975
bad,14562
father,14132
world,13980
mother,13708
black,13525
women,13495
movies,13468
young,13059
end,12908
best,12286
music,11732
made,11492
series,11426
comedy,11393
films,11271
plot,10912
scenes,10797
true,10178
book,10007
scene,9811
director,8907
woman,8818
son,8763
daughter,8752
old,8540
know,8334
feel,8300
performance,8217
new,7689
gay,7518
cast,7495
original,7348
mary,7303
work,6940
art,6870
john,6713
things,6633
white,6629
ben,6425
michael,6416
school,6414
slow,6400
girl,6282
long,6161
back,6152
house,6126
actors,6108
m,6028
funny,6021
ending,5954
better,5913
years,5640
boy,5607
children,5604
lot,5419
animation,5280
season,5222
musical,5187
episode,5133
drama,5022
wife,5013
french,4924
beautiful,4901
town,4855
three,4852
men,4831
drug,4807
going,4790
dog,4660
queen,4538
adam,4450
thriller,4438
tom,4420
paul,4413
sam,4310
couple,4275
documentary,4271
space,4175
kids,4165
charlie,4136
dark,4102
ve,4022
history,4001
simon,3977
human,3968
sex,3957
british,3872
david,3852
say,3832
king,3826
anderson,3794
based,3727
child,3719
japanese,3713
james,3697
robert,3690
death,3665
parents,3665
girls,3577
de,3569
watching,3567
bit,3553
re,3539
part,3519
play,3512
richard,3482
interesting,3449
political,3396
german,3394
joe,3389
relationship,3384
killer,3356
lucy,3281
emma,3230
felt,3229
media,3223
chinese,3221
fun,3205
jack,3175
stories,3158
hart,3029
social,2951
peter,2926
night,2905
home,2894
police,2885
friends,2861
songs,2835
grace,2825
lee,2799
jennifer,2793
version,2760
sister,2728
novel,2726
netflix,2720
emily,2673
read,2668
disney,2645
american,2642
irish,2637
western,2605
kevin,2590
rose,2581
jesus,2570
phoenix,2565
eastwood,2557
main,2555
high,2551
jones,2529
crime,2523
ruth,2517
hanks,2513
driver,2510
christmas,2508
mark,2443
sarah,2399
episodes,2390
daniel,2389
brother,2375
car,2362
ted,2360
teen,2358
helen,2354
paris,2352
fi,2340
kate,2339
alex,2337
judy,2333
artist,2326
island,2308
sci,2297
song,2293
big,2283
christian,2276
henry,2270
russian,2270
aretha,2261
dance,2250
game,2239
different,2236
rogers,2232
jim,2229
murder,2223
elizabeth,2213
overuse,2191
thomas,2184
jane,2175
frank,2174
take,2172
violence,2166
fbi,2157
tony,2111
freddie,2107
mystery,2106
revenge,2097
cage,2089
cooper,2086
serial,2083
earth,2083
stewart,2077
fight,2072
husband,2068
romance,2061
bundy,2059
sisters,2056
foster,2053
dogs,2043
pretty,2022
anna,2016
anne,2008
tammy,1978
brothers,1969
body,1951
boring,1943
doll,1939
tyler,1939
minutes,1911
chris,1910
sound,1902
kelly,1898
teacher,1896
mental,1888
la,1883
marie,1882
soldiers,1861
age,1861
bill,1859
performances,1859
horse,1845
books,1835
gucci,1833
china,1829
neeson,1826
olivia,1817
four,1815
kidman,1811
liam,1805
role,1801
star,1800
fantasy,1798
johnson,1791
society,1788
cinema,1782
anime,1777
wes,1776
lansky,1773
battle,1769
half,1768
jean,1765
metal,1761
road,1760
ray,1753
spy,1743
claire,1741
affleck,1733
hawke,1732
screen,1706
clint,1704
script,1703
steve,1702
laura,1688
faith,1682
country,1674
matt,1657
wood,1657
baby,1653
oscar,1646
place,1644
spielberg,1642
historical,1642
lady,1634
band,1634
money,1631
alice,1627
van,1613
coming,1608
thompson,1601
makes,1596
bank,1594
abortion,1594
nick,1590
green,1588
dead,1585
shot,1579
marvel,1579
sandler,1576
del,1573
summer,1573
lawrence,1563
su,1550
addiction,1550
vincent,1548
stone,1548
korean,1547
smith,1538
group,1535
team,1527
portman,1525
france,1524
heist,1518
neil,1515
sean,1514
friend,1511
times,1510
guy,1509
knight,1507
gaga,1500
ghost,1496
gloria,1495
twist,1489
ca,1486
harris,1483
jong,1473
mr,1473
joaquin,1472
holmes,1472
tv,1470
edward,1469
water,1466
zombie,1464
fred,1463
past,1461
actor,1459
news,1457
tucker,1457
cinematography,1453
jenkins,1448
florence,1448
god,1444
diane,1436
ethan,1435
washington,1434
kid,1434
stephen,1432
annie,1428
sitting,1425
johnny,1422
witch,1419
farhadi,1417
blood,1416
rock,1416
boys,1415
lily,1413
jessica,1412
elvis,1410
rachel,1409
vietnam,1409
bardem,1409
anthony,1404
power,1403
lizzie,1401
train,1398
israeli,1394
maud,1392
indian,1391
romantic,1388
london,1384
depp,1382
cumberbatch,1379
cop,1377
jamie,1373
trial,1368
fanning,1367
iran,1366
alicia,1365
kristen,1364
stage,1363
sports,1358
law,1357
small,1357
swinton,1355
nicole,1354
illness,1352
armstrong,1350
hand,1344
cheney,1344
quiet,1342
belle,1341
tilda,1341
prison,1340
understand,1336
redford,1336
devil,1335
dementia,1332
maria,1330
live,1328
jesse,1326
elle,1317
cow,1313
cave,1312
gilliam,1309
williams,1308
von,1306
martin,1302
noé,1300
andrew,1298
class,1295
bruce,1292
rescue,1288
bloom,1287
point,1287
natalie,1286
mike,1286
christopher,1285
trip,1283
louis,1282
nina,1282
soderbergh,1281
italian,1279
trier,1278
animals,1277
undine,1276
mercury,1275
lake,1274
evil,1273
chastain,1270
berlin,1256
2,1254
oren,1253
manson,1252
dialogue,1250
shakespeare,1247
gun,1239
pike,1236
evan,1235
malcolm,1235
bridget,1232
sequel,1231
remake,1228
iraq,1226
knightley,1226
violet,1225
style,1224
mapplethorpe,1221
julia,1213
boat,1211
germany,1210
city,1209
mckay,1204
moore,1203
moments,1203
diana,1202
ellie,1200
red,1197
koreeda,1197
lives,1195
batman,1195
billie,1191
animated,1190
mexican,1189
franklin,1189
keaton,1186
enola,1184
wain,1179
wrestling,1177
military,1170
ana,1169
hemsworth,1167
nighy,1166
holiday,1165
kit,1164
truth,1162
pacino,1160
wilde,1160
elton,1158
banks,1156
church,1155
mulligan,1155
rush,1154
dad,1151
kingsley,1149
hard,1148
ford,1148
bale,1147
dafoe,1146
porn,1143
aliens,1140
gary,1138
cruz,1135
seberg,1126
hoffman,1126
celeste,1121
beast,1118
agent,1118
south,1118
gigi,1117
collins,1115
shows,1112
lost,1108
sorkin,1106
giacometti,1104
