,Count
s,190995
movie,136118
nt,120184
film,116361
horror,48183
good,48033
story,35998
did,32855
time,20377
characters,14474
people,12610
great,12050
watch,10254
way,10004
bad,9692
character,8936
movies,7529
house,7444
make,7372
fun,6895
family,5984
think,5578
comedy,5310
acting,5272
things,5193
original,4994
mother,4746
plot,4743
films,4705
end,4678
life,4209
show,3920
killer,3655
ending,3654
series,3628
two,3557
action,3204
made,3130
slow,3117
black,3099
daughter,3072
man,3053
know,2872
m,2851
better,2844
going,2825
game,2764
zombie,2666
back,2658
scenes,2629
scene,2606
stories,2558
kids,2540
halloween,2536
scares,2442
lot,2405
cage,2399
dead,2354
funny,2337
interesting,2336
real,2307
re,2281
ve,2229
new,2213
thriller,2209
art,2085
night,2083
jack,2066
world,2057
franchise,2013
book,1970
old,1948
scream,1934
grace,1921
love,1871
cast,1851
slasher,1839
say,1819
venom,1813
girl,1765
sequel,1750
scary,1717
dark,1695
serial,1687
episode,1675
watching,1591
argento,1588
long,1575
felt,1565
woman,1547
zombies,1545
witch,1533
david,1528
girls,1525
work,1521
jump,1504
evil,1485
twist,1469
home,1463
children,1459
christmas,1452
take,1413
conjuring,1407
maud,1392
x,1387
men,1382
part,1365
michael,1363
puppets,1360
werewolf,1354
vampire,1346
child,1326
anna,1303
half,1302
trier,1278
gore,1260
town,1257
amanda,1245
green,1242
predator,1241
sci,1238
puppet,1205
feel,1199
von,1186
young,1184
santa,1175
peele,1172
daniel,1160
bit,1151
director,1130
purge,1105
candyman,1092
charlie,1069
fi,1051
jordan,1036
season,1035
effects,1033
revenge,1012
couple,1006
2,1002
space,995
boy,994
knight,992
pretty,991
found,976
metal,968
king,959
footage,940
group,936
social,935
chef,933
sarah,932
women,929
tom,927
army,923
island,916
hunter,916
music,913
ben,908
creature,907
son,906
creepy,899
nun,897
cecilia,897
devil,894
minutes,892
phil,882
alice,875
pearl,873
annie,870
animation,867
marvel,863
cult,853
bodies,852
war,852
luke,840
annabelle,827
monsters,821
gawain,808
makes,806
place,804
giallo,801
elements,797
quiet,793
food,793
father,790
gretel,790
ghost,782
body,770
happytime,768
maria,766
kevin,762
overuse,760
documentary,758
school,757
hair,752
sean,741
la,739
llorona,736
human,728
nicolas,722
underwater,718
hell,718
ellie,718
mary,718
white,714
musical,709
dad,696
st,692
darby,690
menu,686
remake,685
years,684
hallmark,684
episodes,683
water,675
vincent,675
rock,673
slender,670
dialogue,661
voice,659
baby,657
drama,656
adam,652
marshall,645
best,643
games,642
prequel,642
paranormal,637
kills,637
main,634
justin,634
shark,630
scott,630
activity,623
cloverfield,622
hansel,620
gets,618
glass,617
dance,616
hotel,612
